Date,RELIANCE.NS,TCS.NS,INFY.NS,HDFCBANK.NS,ITC.NS
2020-01-01,675.3242797851562,1900.03759765625,633.1510620117188,605.529296875,177.02919006347656
2020-01-02,686.8212280273438,1891.3160400390625,631.3037109375,609.38916015625,178.33029174804688
2020-01-03,687.6488647460938,1929.0079345703125,641.013427734375,600.6987915039062,177.3265838623047
2020-01-06,671.70068359375,1928.8326416015625,634.86962890625,587.69873046875,174.79864501953125
2020-01-07,682.0345458984375,1933.5667724609375,625.4607543945312,597.0048217773438,174.98452758789062
2020-01-08,676.9122924804688,1976.8685302734375,617.1258544921875,595.4420166015625,174.12948608398438
2020-01-09,692.5025634765625,1941.017333984375,625.1599731445312,602.1195678710938,175.31910705566406
2020-01-10,692.345947265625,1940.3160400390625,634.2681884765625,607.4710693359375,176.95480346679688
2020-01-13,690.5790405273438,1919.9794921875,664.6862182617188,609.0339965820312,177.8842010498047
2020-01-14,684.1818237304688,1934.486572265625,666.4906616210938,610.6915283203125,180.85821533203125
2020-01-15,681.6990356445312,1952.0179443359375,659.5307006835938,608.2051391601562,180.2262420654297
2020-01-16,687.9843139648438,1962.4490966796875,659.0580444335938,609.8154296875,178.99945068359375
2020-01-17,707.2652587890625,1945.180419921875,659.7885131835938,605.3162841796875,178.40464782714844
2020-01-20,685.5015869140625,1902.4486083984375,660.3040771484375,594.3052978515625,179.8544921875
2020-01-21,686.1949462890625,1903.06201171875,655.1912841796875,589.3090209960938,177.28939819335938
2020-01-22,685.9488525390625,1934.486572265625,661.8078002929688,587.6514282226562,176.9919891357422
2020-01-23,683.0411987304688,1924.8668212890625,673.9662475585938,589.5457763671875,176.88046264648438
2020-01-24,680.6700439453125,1918.2333984375,672.591552734375,589.40380859375,177.0663299560547
2020-01-27,673.9598388671875,1905.8017578125,668.595947265625,574.5567626953125,174.4268798828125
2020-01-28,658.3919067382812,1918.541015625,668.510009765625,579.2926025390625,171.56436157226562
2020-01-29,662.0155029296875,1892.93115234375,678.5634155273438,585.283447265625,175.95106506347656
2020-01-30,645.865966796875,1878.2149658203125,670.830078125,580.642333984375,174.01795959472656
2020-01-31,631.5060424804688,1826.5562744140625,666.7484130859375,580.7606811523438,174.83580017089844
2020-02-03,619.8076782226562,1847.1585693359375,659.4017944335938,564.8955078125,154.35215759277344
2020-02-04,638.1045532226562,1851.77099609375,676.9736938476562,582.4183349609375,160.33741760253906
2020-02-05,647.9909057617188,1885.8585205078125,674.1380615234375,589.4510498046875,160.9322052001953
2020-02-06,652.1513061523438,1869.8687744140625,662.7958374023438,587.1541137695312,158.77606201171875
2020-02-07,641.3477783203125,1877.0733642578125,667.9085083007812,588.290771484375,158.66453552246094
2020-02-10,642.2201538085938,1899.3883056640625,664.385498046875,587.3909912109375,156.54551696777344
2020-02-11,649.8922119140625,1891.8765869140625,664.6862182617188,587.5330200195312,158.06971740722656
2020-02-12,657.7432861328125,1907.1197509765625,671.1306762695312,591.5111694335938,158.40428161621094
2020-02-13,659.4655151367188,1925.7449951171875,680.7545166015625,587.911865234375,157.5492401123047
2020-02-14,665.4824829101562,1918.9368896484375,675.770751953125,577.4693603515625,154.42652893066406
2020-02-17,661.2997436523438,1935.6732177734375,678.3485717773438,576.427490234375,152.27035522460938
2020-02-18,656.4458618164062,1946.6544189453125,685.3946533203125,574.5804443359375,151.56402587890625
2020-02-19,672.7295532226562,1929.6112060546875,687.8004760742188,581.1868896484375,153.68301391601562
2020-02-20,664.744384765625,1894.86376953125,684.8360595703125,576.4036865234375,154.2406463623047
2020-02-24,646.40283203125,1858.4473876953125,683.8478393554688,573.017578125,150.93202209472656
2020-02-25,633.6309204101562,1894.2928466796875,686.0390625,568.4474487304688,150.0398406982422
2020-02-26,622.7154541015625,1865.6961669921875,672.591552734375,567.9501953125,147.6605987548828
2020-02-27,620.1432495117188,1849.7940673828125,668.3810424804688,568.0448608398438,146.87994384765625
2020-02-28,594.3756713867188,1757.2386474609375,628.725830078125,557.720703125,146.87994384765625
2020-03-02,588.7838134765625,1758.2490234375,636.760009765625,558.6441650390625,145.20701599121094
2020-03-03,600.7280883789062,1788.910400390625,641.8726196289062,559.6860961914062,144.1289520263672
2020-03-04,599.3189697265625,1830.2025146484375,651.9691162109375,544.0813598632812,139.4076690673828
2020-03-05,586.5470581054688,1866.9697265625,648.403076171875,545.265380859375,139.8166046142578
2020-03-06,568.585693359375,1859.4141845703125,634.9556884765625,537.474853515625,135.1325225830078
2020-03-09,498.41845703125,1732.8148193359375,605.3108520507812,524.40380859375,131.7495574951172
2020-03-11,516.044189453125,1716.4295654296875,589.4573974609375,527.4820556640625,130.59707641601562
2020-03-12,475.5363464355469,1554.9078369140625,542.3695068359375,483.6752014160156,115.83849334716797
2020-03-13,494.4593811035156,1586.9310302734375,551.9503784179688,506.6442565917969,120.63409423828125
2020-03-16,454.3765563964844,1490.3779296875,501.081787109375,473.3510437011719,109.48149871826172
2020-03-17,450.93194580078125,1456.6419677734375,476.850341796875,461.79547119140625,110.8941650390625
2020-03-18,433.261474609375,1453.4786376953125,459.10650634765625,415.2891845703125,112.04658508300781
2020-03-19,410.53594970703125,1448.1246337890625,468.7732238769531,424.1215515136719,120.33671569824219
2020-03-20,455.3830871582031,1590.6937255859375,502.8432312011719,418.10699462890625,130.48558044433594
2020-03-23,395.4825134277344,1477.6385498046875,452.361328125,365.3966979980469,114.72322082519531
2020-03-24,422.032958984375,1507.2406005859375,506.7958679199219,363.5733642578125,111.3030776977539
2020-03-25,484.1478576660156,1548.96728515625,520.8878784179688,405.746337890625,109.55584716796875
2020-03-26,476.96783447265625,1584.9412841796875,552.5089111328125,426.75,116.28459930419922
2020-03-27,476.6994323730469,1614.63232421875,560.8438110351562,428.3365173339844,121.3404541015625
2020-03-30,460.9749755859375,1573.9232177734375,538.5028686523438,393.85931396484375,118.36640930175781
2020-03-31,498.239501953125,1616.04833984375,551.2199096679688,408.18536376953125,127.66024017333984
2020-04-01,483.3426513671875,1512.1966552734375,517.9662475585938,392.9121398925781,123.71967315673828
2020-04-03,482.0005798339844,1463.921630859375,503.27288818359375,385.4294128417969,132.26998901367188
2020-04-07,539.5525512695312,1571.0030517578125,549.07177734375,424.38201904296875,134.98379516601562
2020-04-08,533.3120727539062,1509.276123046875,542.713134765625,420.97222900390625,132.82763671875
2020-04-09,545.7483520507812,1562.994384765625,546.7088012695312,438.0924072265625,137.73477172851562
2020-04-13,531.9698486328125,1556.887939453125,547.697021484375,424.0268249511719,135.02099609375
2020-04-15,514.388916015625,1535.559814453125,549.1146850585938,408.8483581542969,140.7831573486328
2020-04-16,522.5308227539062,1518.6571044921875,536.053955078125,416.6388854980469,138.55262756347656
2020-04-17,547.5601196289062,1598.4371337890625,540.2643432617188,431.10699462890625,139.85379028320312
2020-04-20,556.4177856445312,1609.4549560546875,561.359375,447.4694519042969,134.35182189941406
2020-04-21,553.5322875976562,1537.7725830078125,544.0880737304688,436.4822082519531,133.533935546875
2020-04-22,610.0106811523438,1565.958740234375,551.520751953125,439.7736511230469,135.5042724609375
2020-04-23,613.2763061523438,1662.1995849609375,583.7002563476562,452.2527160644531,134.2403106689453
2020-04-24,633.8993530273438,1609.36669921875,565.39794921875,444.24908447265625,133.8685302734375
2020-04-27,639.6030883789062,1625.340576171875,571.0689697265625,440.2945861816406,133.7198486328125
2020-04-28,638.8873291015625,1645.208251953125,567.7179565429688,441.0997009277344,133.42247009277344
2020-04-29,638.3505859375,1686.4476318359375,581.3372192382812,462.7426452636719,135.42990112304688
2020-04-30,655.8197021484375,1782.73291015625,614.8057861328125,474.4402160644531,135.35556030273438
2020-05-04,642.0411376953125,1708.395263671875,578.8883056640625,437.12152099609375,129.40750122070312
2020-05-05,653.4262084960938,1710.4306640625,578.8883056640625,431.6515808105469,129.2959747314453
2020-05-06,653.4710693359375,1684.6337890625,572.1861572265625,448.2035217285156,121.86087799072266
2020-05-07,674.1387939453125,1674.0579833984375,571.3696899414062,438.0687255859375,119.70475006103516
2020-05-08,698.6761474609375,1675.60693359375,579.3180541992188,439.98675537109375,117.66007995605469
2020-05-11,705.3863525390625,1712.6876220703125,586.7936401367188,433.71173095703125,117.80875396728516
2020-05-12,661.7470703125,1725.25341796875,590.875244140625,426.9631042480469,122.71593475341797
2020-05-13,675.7872314453125,1725.38671875,596.4602661132812,439.3237609863281,122.97615814208984
2020-05-14,648.4657592773438,1683.5274658203125,565.52685546875,423.24542236328125,121.78654479980469
2020-05-15,659.0556030273438,1675.1644287109375,560.5,420.6170349121094,122.41852569580078
